Datum	Tekort(mm)
20250401	2.63
20250402	5.47
20250403	8.52
20250404	11.64
20250405	14.64
20250406	17.52
20250407	20.35
20250408	23.15
20250409	25.28
20250410	27.40
20250411	30.34
20250412	33.85
20250413	33.85
20250414	35.60
20250415	37.90
20250416	33.82
20250417	32.74
20250418	32.89
20250419	35.98
20250420	38.41
20250421	33.15
20250422	34.19
20250423	35.56
20250424	30.98
20250425	28.52
20250426	31.95
20250427	35.89
20250428	39.79
20250429	43.82
20250430	48.02
20250501	52.35
20250502	55.74
20250503	58.84
20250504	60.98
20250505	63.89
20250506	66.00
20250507	68.76
20250508	72.27
20250509	76.40
20250510	80.75
20250511	85.48
20250512	90.18
20250513	94.88
20250514	99.08
20250515	103.05
20250516	106.20
20250517	110.14
20250518	113.08
20250519	117.55
20250520	122.02
20250521	125.29
20250522	128.63
20250523	129.54
20250524	129.95
20250525	125.72
20250526	128.37
20250527	127.79
20250528	118.70
20250529	118.55
20250530	121.62
20250531	125.71
20250601	122.13
20250602	125.87
20250603	129.03
20250604	130.93
20250605	132.78
20250606	124.98
20250607	122.41
20250608	110.11
20250609	108.46
20250610	107.89
20250611	111.24
20250612	116.49
20250613	121.72
20250614	124.38
20250615	127.17
20250616	131.47
20250617	136.23
20250618	140.98
20250619	145.68
20250620	150.78
20250621	156.39
20250622	159.92
20250623	162.72
20250624	164.42
20250625	167.74
20250626	163.37
20250627	161.56
20250628	165.12
20250629	170.02
20250630	175.60
20250701	181.32
20250702	185.03
20250703	184.41
20250704	189.18
20250705	191.38
20250706	190.26
20250707	175.68
20250708	173.88
20250709	177.11
20250710	180.96
20250711	184.58
20250712	188.89
20250713	192.33
20250714	194.59
20250715	197.78
20250716	193.14
20250717	192.86
20250718	196.67
20250719	200.65
20250720	201.95
20250721	198.14
20250722	193.42
20250723	195.18
20250724	195.91
20250725	197.85
20250726	200.61
20250727	199.23
20250728	201.60
20250729	204.08
20250730	206.26
20250731	207.97
20250801	205.28
20250802	197.07
20250803	199.02
20250804	198.05
20250805	198.74
20250806	199.88
20250807	203.02
20250808	206.20
20250809	210.21
20250810	214.27
20250811	218.57
20250812	222.30
20250813	226.14
20250814	229.65
20250815	233.59
20250816	235.61
20250817	237.38
20250818	240.80
20250819	244.72
20250820	247.97
20250821	250.88
20250822	252.47
20250823	253.96
20250824	256.88
20250825	260.11
20250826	262.94
20250827	265.69
20250828	267.75
20250829	266.52
20250830	266.58
20250831	267.98
20250901	265.78
20250902	267.05
20250903	267.28
20250904	263.68
20250905	262.73
20250906	264.47
20250907	268.01
20250908	267.54
20250909	262.88
20250910	256.51
20250911	257.29
20250912	254.58
20250913	249.00
20250914	241.77
20250915	235.35
20250916	227.84
20250917	221.98
20250918	217.67
20250919	220.37
20250920	221.56
20250921	219.39
20250922	220.51
20250923	222.14
20250924	224.04
20250925	225.68
20250926	227.11
20250927	227.86
20250928	229.85
20250929	231.56
20250930	233.01
